Código ,Descripción ,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
61343,"CRANIECTOMY, SUBOCCIPITAL WITH CERVICAL LAMINECTOMY FOR DECOMPRESSION OF MEDULLA AND SPINAL CORD, WITH OR WITHOUT DURAL GRAFT (EG, ARNOLD-CHIARI MALFORMATION)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61345,"OTHER CRANIAL DECOMPRESSION, POSTERIOR FOSSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61450,"CRANIECTOMY, SUBTEMPORAL, FOR SECTION, COMPRESSION, OR DECOMPRESSION OF SENSORY ROOT OF GASSERIAN GANGLION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61458,"CRANIECTOMY, SUBOCCIPITAL; FOR EXPLORATION OR DECOMPRESSION OF CRANIAL NERVES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61460,"CRANIECTOMY, SUBOCCIPITAL; FOR SECTION OF 1 OR MORE CRANIAL NERVES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61480,"CRANIECTOMY, SUBOCCIPITAL; FOR MESENCEPHALIC TRACTOTOMY OR PEDUNCULOTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61500,CRANIECTOMY; WITH EXCISION OF TUMOR OR OTHER BONE LESION OF SKULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61501,CRANIECTOMY; FOR OSTEOMYELITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61510,"CRANIECTOMY, TREPHINATION, BONE FLAP CRANIOTOMY; FOR EXCISION OF BRAIN TUMOR, SUPRATENTORIAL, EXCEPT MENINGIOMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61512,"CRANIECTOMY, TREPHINATION, BONE FLAP CRANIOTOMY; FOR EXCISION OF MENINGIOMA, SUPRATENTORIAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61514,"CRANIECTOMY, TREPHINATION, BONE FLAP CRANIOTOMY; FOR EXCISION OF BRAIN ABSCESS, SUPRATENTORIAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61516,"CRANIECTOMY, TREPHINATION, BONE FLAP CRANIOTOMY; FOR EXCISION OR FENESTRATION OF CYST, SUPRATENTORIAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61517,IMPLANTATION OF BRAIN INTRACAVITARY CHEMOTHERAPY AGENT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61518,"CRANIECTOMY FOR EXCISION OF BRAIN TUMOR, INFRATENTORIAL OR POSTERIOR FOSSA; EXCEPT MENINGIOMA, CEREBELLOPONTINE ANGLE TUMOR, OR MIDLINE TUMOR AT BASE OF SKULL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61519,"CRANIECTOMY FOR EXCISION OF BRAIN TUMOR, INFRATENTORIAL OR POSTERIOR FOSSA; MENINGIOMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61520,"CRANIECTOMY FOR EXCISION OF BRAIN TUMOR, INFRATENTORIAL OR POSTERIOR FOSSA; CEREBELLOPONTINE ANGLE TUMOR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61521,"CRANIECTOMY FOR EXCISION OF BRAIN TUMOR, INFRATENTORIAL OR POSTERIOR FOSSA; MIDLINE TUMOR AT BASE OF SKULL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61522,"CRANIECTOMY, INFRATENTORIAL OR POSTERIOR FOSSA; FOR EXCISION OF BRAIN ABSCESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61524,"CRANIECTOMY, INFRATENTORIAL OR POSTERIOR FOSSA; FOR EXCISION OR FENESTRATION OF CYST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61526,"CRANIECTOMY, BONE FLAP CRANIOTOMY, TRANSTEMPORAL (MASTOID) FOR EXCISION OF CEREBELLOPONTINE ANGLE TUMOR;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61530,"CRANIECTOMY, BONE FLAP CRANIOTOMY, TRANSTEMPORAL (MASTOID) FOR EXCISION OF CEREBELLOPONTINE ANGLE TUMOR; COMBINED WITH MIDDLE/POSTERIOR FOSSA CRANIOTOMY/CRANIECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61531,SUBDURAL IMPLANTATION OF STRIP ELECTRODES THROUGH 1 OR MORE BURR OR TREPHINE HOLE(S) FOR LONG-TERM SEIZURE MONITORING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61533,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR SUBDURAL IMPLANTATION OF AN ELECTRODE ARRAY, FOR LONG-TERM SEIZURE MONITORING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61534,CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR EXCISION OF EPILEPTOGENIC FOCUS WITHOUT ELECTROCORTICOGRAPHY DURING SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61535,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR REMOVAL OF EPIDURAL OR SUBDURAL ELECTRODE ARRAY, WITHOUT EXCISION OF CEREBRAL TISSUE (SEPARATE PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61536,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR EXCISION OF CEREBRAL EPILEPTOGENIC FOCUS, WITH ELECTROCORTICOGRAPHY DURING SURGERY (INCLUDES REMOVAL OF ELECTRODE ARRAY)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61537,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR LOBECTOMY, TEMPORAL LOBE, WITHOUT ELECTROCORTICOGRAPHY DURING SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61538,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR LOBECTOMY, TEMPORAL LOBE, WITH ELECTROCORTICOGRAPHY DURING SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61539,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR LOBECTOMY, OTHER THAN TEMPORAL LOBE, PARTIAL OR TOTAL, WITH ELECTROCORTICOGRAPHY DURING SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61540,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR LOBECTOMY, OTHER THAN TEMPORAL LOBE, PARTIAL OR TOTAL, WITHOUT ELECTROCORTICOGRAPHY DURING SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61541,CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR TRANSECTION OF CORPUS CALLOSUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61543,CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR PARTIAL OR SUBTOTAL (FUNCTIONAL) HEMISPHERECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61544,CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR EXCISION OR COAGULATION OF CHOROID PLEXUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61545,CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR EXCISION OF CRANIOPHARYNGIOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61546,"CRANIOTOMY FOR HYPOPHYSECTOMY OR EXCISION OF PITUITARY TUMOR, INTRACRANIAL APPROACH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61548,"HYPOPHYSECTOMY OR EXCISION OF PITUITARY TUMOR, TRANSNASAL OR TRANSSEPTAL APPROACH, NONSTEREOTACTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61550,CRANIECTOMY FOR CRANIOSYNOSTOSIS; SINGLE CRANIAL SUTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61552,CRANIECTOMY FOR CRANIOSYNOSTOSIS; MULTIPLE CRANIAL SUTURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61556,CRANIOTOMY FOR CRANIOSYNOSTOSIS; FRONTAL OR PARIETAL BONE FLAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61557,CRANIOTOMY FOR CRANIOSYNOSTOSIS; BIFRONTAL BONE FLAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61558,"EXTENSIVE CRANIECTOMY FOR MULTIPLE CRANIAL SUTURE CRANIOSYNOSTOSIS (EG, CLOVERLEAF SKULL); NOT REQUIRING BONE GRAFTS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61559,"EXTENSIVE CRANIECTOMY FOR MULTIPLE CRANIAL SUTURE CRANIOSYNOSTOSIS (EG, CLOVERLEAF SKULL); RECONTOURING WITH MULTIPLE OSTEOTOMIES AND BONE AUTOGRAFTS (EG, BARREL-STAVE PROCEDURE) (INCLUDES OBTAINING GRAFTS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61563,"EXCISION, INTRA AND EXTRACRANIAL, BENIGN TUMOR OF CRANIAL BONE (EG, FIBROUS DYSPLASIA); WITHOUT OPTIC NERVE DECOMPRESSION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61564,"EXCISION, INTRA AND EXTRACRANIAL, BENIGN TUMOR OF CRANIAL BONE (EG, FIBROUS DYSPLASIA); WITH OPTIC NERVE DECOMPRESSION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61566,CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR SELECTIVE AMYGDALOHIPPOCAMPECTOMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61567,"CRANIOTOMY WITH ELEVATION OF BONE FLAP; FOR MULTIPLE SUBPIAL TRANSECTIONS, WITH ELECTROCORTICOGRAPHY DURING SURGERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61570,CRANIECTOMY OR CRANIOTOMY; WITH EXCISION OF FOREIGN BODY FROM BRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61571,CRANIECTOMY OR CRANIOTOMY; WITH TREATMENT OF PENETRATING WOUND OF BRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61575,"TRANSORAL APPROACH TO SKULL BASE, BRAIN STEM OR UPPER SPINAL CORD FOR BIOPSY, DECOMPRESSION OR EXCISION OF LESION;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61576,"TRANSORAL APPROACH TO SKULL BASE, BRAIN STEM OR UPPER SPINAL CORD FOR BIOPSY, DECOMPRESSION OR EXCISION OF LESION; REQUIRING SPLITTING OF TONGUE AND/OR MANDIBLE (INCLUDING TRACHEOSTOMY)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61580,"CRANIOFACIAL APPROACH TO ANTERIOR CRANIAL FOSSA; EXTRADURAL, INCLUDING LATERAL RHINOTOMY, ETHMOIDECTOMY, SPHENOIDECTOMY, WITHOUT MAXILLECTOMY OR ORBITAL EXENTERATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61581,"CRANIOFACIAL APPROACH TO ANTERIOR CRANIAL FOSSA; EXTRADURAL, INCLUDING LATERAL RHINOTOMY, ORBITAL EXENTERATION, ETHMOIDECTOMY, SPHENOIDECTOMY AND/OR MAXILLECTOMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61582,"CRANIOFACIAL APPROACH TO ANTERIOR CRANIAL FOSSA; EXTRADURAL, INCLUDING UNILATERAL OR BIFRONTAL CRANIOTOMY, ELEVATION OF FRONTAL LOBE(S), OSTEOTOMY OF BASE OF ANTERIOR CRANIAL FOSSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61583,"CRANIOFACIAL APPROACH TO ANTERIOR CRANIAL FOSSA; INTRADURAL, INCLUDING UNILATERAL OR BIFRONTAL CRANIOTOMY, ELEVATION OR RESECTION OF FRONTAL LOBE, OSTEOTOMY OF BASE OF ANTERIOR CRANIAL FOSSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61584,"ORBITOCRANIAL APPROACH TO ANTERIOR CRANIAL FOSSA, EXTRADURAL, INCLUDING SUPRAORBITAL RIDGE OSTEOTOMY AND ELEVATION OF FRONTAL AND/OR TEMPORAL LOBE(S); WITHOUT ORBITAL EXENTERATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61585,"ORBITOCRANIAL APPROACH TO ANTERIOR CRANIAL FOSSA, EXTRADURAL, INCLUDING SUPRAORBITAL RIDGE OSTEOTOMY AND ELEVATION OF FRONTAL AND/OR TEMPORAL LOBE(S); WITH ORBITAL EXENTERATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61586,"BICORONAL, TRANSZYGOMATIC AND/OR LEFORT I OSTEOTOMY APPROACH TO ANTERIOR CRANIAL FOSSA WITH OR WITHOUT INTERNAL FIXATION, WITHOUT BONE GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61590,"INFRATEMPORAL PRE-AURICULAR APPROACH TO MIDDLE CRANIAL FOSSA (PARAPHARYNGEAL SPACE, INFRATEMPORAL AND MIDLINE SKULL BASE, NASOPHARYNX), WITH OR WITHOUT DISARTICULATION OF THE MANDIBLE, INCLUDING PAROTIDECTOMY, CRANIOTOMY, DECOMPRESSION AND/OR MOBILIZATION OF THE FACIAL NERVE AND/OR PETROUS CAROTID ARTERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61591,"INFRATEMPORAL POST-AURICULAR APPROACH TO MIDDLE CRANIAL FOSSA (INTERNAL AUDITORY MEATUS, PETROUS APEX, TENTORIUM, CAVERNOUS SINUS, PARASELLAR AREA, INFRATEMPORAL FOSSA) INCLUDING MASTOIDECTOMY, RESECTION OF SIGMOID SINUS, WITH OR WITHOUT DECOMPRESSION AND/OR MOBILIZATION OF CONTENTS OF AUDITORY CANAL OR PETROUS CAROTID ARTERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61592,"ORBITOCRANIAL ZYGOMATIC APPROACH TO MIDDLE CRANIAL FOSSA (CAVERNOUS SINUS AND CAROTID ARTERY, CLIVUS, BASILAR ARTERY OR PETROUS APEX) INCLUDING OSTEOTOMY OF ZYGOMA, CRANIOTOMY, EXTRA- OR INTRADURAL ELEVATION OF TEMPORAL LOBE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61595,"TRANSTEMPORAL APPROACH TO POSTERIOR CRANIAL FOSSA, JUGULAR FORAMEN OR MIDLINE SKULL BASE, INCLUDING MASTOIDECTOMY, DECOMPRESSION OF SIGMOID SINUS AND/OR FACIAL NERVE, WITH OR WITHOUT MOBILIZATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61596,"TRANSCOCHLEAR APPROACH TO POSTERIOR CRANIAL FOSSA, JUGULAR FORAMEN OR MIDLINE SKULL BASE, INCLUDING LABYRINTHECTOMY, DECOMPRESSION, WITH OR WITHOUT MOBILIZATION OF FACIAL NERVE AND/OR PETROUS CAROTID ARTERY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61597,"TRANSCONDYLAR (FAR LATERAL) APPROACH TO POSTERIOR CRANIAL FOSSA, JUGULAR FORAMEN OR MIDLINE SKULL BASE, INCLUDING OCCIPITAL CONDYLECTOMY, MASTOIDECTOMY, RESECTION OF C1-C3 VERTEBRAL BODY(S), DECOMPRESSION OF VERTEBRAL ARTERY, WITH OR WITHOUT MOBILIZATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61598,"TRANSPETROSAL APPROACH TO POSTERIOR CRANIAL FOSSA, CLIVUS OR FORAMEN MAGNUM, INCLUDING LIGATION OF SUPERIOR PETROSAL SINUS AND/OR SIGMOID SINUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61600,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF BASE OF ANTERIOR CRANIAL FOSSA; EXTRADURAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61601,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF BASE OF ANTERIOR CRANIAL FOSSA; INTRADURAL, INCLUDING DURAL REPAIR, WITH OR WITHOUT GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61605,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF INFRATEMPORAL FOSSA, PARAPHARYNGEAL SPACE, PETROUS APEX; EXTRADURAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61606,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF INFRATEMPORAL FOSSA, PARAPHARYNGEAL SPACE, PETROUS APEX; INTRADURAL, INCLUDING DURAL REPAIR, WITH OR WITHOUT GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61607,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF PARASELLAR AREA, CAVERNOUS SINUS, CLIVUS OR MIDLINE SKULL BASE; EXTRADURAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61608,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF PARASELLAR AREA, CAVERNOUS SINUS, CLIVUS OR MIDLINE SKULL BASE; INTRADURAL, INCLUDING DURAL REPAIR, WITH OR WITHOUT GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61610,"TRANSECTION OR LIGATION, CAROTID ARTERY IN CAVERNOUS SINUS, WITH REPAIR BY ANASTOMOSIS OR GRAFT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61611,"TRANSECTION OR LIGATION, CAROTID ARTERY IN PETROUS CANAL; WITHOUT REPAIR (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61612,"TRANSECTION OR LIGATION, CAROTID ARTERY IN PETROUS CANAL; WITH REPAIR BY ANASTOMOSIS OR GRAFT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61613,"OBLITERATION OF CAROTID ANEURYSM, ARTERIOVENOUS MALFORMATION, OR CAROTID-CAVERNOUS FISTULA BY DISSECTION WITHIN CAVERNOUS SINUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61615,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF BASE OF POSTERIOR CRANIAL FOSSA, JUGULAR FORAMEN, FORAMEN MAGNUM, OR C1-C3 VERTEBRAL BODIES; EXTRADURAL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61616,"RESECTION OR EXCISION OF NEOPLASTIC, VASCULAR OR INFECTIOUS LESION OF BASE OF POSTERIOR CRANIAL FOSSA, JUGULAR FORAMEN, FORAMEN MAGNUM, OR C1-C3 VERTEBRAL BODIES; INTRADURAL, INCLUDING DURAL REPAIR, WITH OR WITHOUT GRAFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61618,"SECONDARY REPAIR OF DURA FOR CEREBROSPINAL FLUID LEAK, ANTERIOR, MIDDLE OR POSTERIOR CRANIAL FOSSA FOLLOWING SURGERY OF THE SKULL BASE; BY FREE TISSUE GRAFT (EG, PERICRANIUM, FASCIA, TENSOR FASCIA LATA, ADIPOSE TISSUE, HOMOLOGOUS OR SYNTHETIC GRAFTS)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61619,"SECONDARY REPAIR OF DURA FOR CEREBROSPINAL FLUID LEAK, ANTERIOR, MIDDLE OR POSTERIOR CRANIAL FOSSA FOLLOWING SURGERY OF THE SKULL BASE; BY LOCAL OR REGIONALIZED VASCULARIZED PEDICLE FLAP OR MYOCUTANEOUS FLAP (INCLUDING GALEA, TEMPORALIS, FRONTALIS OR OCCIPITALIS MUSCLE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61623,"ENDOVASCULAR TEMPORARY BALLOON ARTERIAL OCCLUSION, HEAD OR NECK (EXTRACRANIAL/INTRACRANIAL) INCLUDING SELECTIVE CATHETERIZATION OF VESSEL TO BE OCCLUDED, POSITIONING AND INFLATION OF OCCLUSION BALLOON, CONCOMITANT NEUROLOGICAL MONITORING, AND RADIOLOGIC SUPERVISION AND INTERPRETATION OF ALL ANGIOGRAPHY REQUIRED FOR BALLOON OCCLUSION AND TO EXCLUDE VASCULAR INJURY POST OCCLUSION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61624,"TRANSCATHETER PERMANENT OCCLUSION OR EMBOLIZATION (EG, FOR TUMOR DESTRUCTION, TO ACHIEVE HEMOSTASIS, TO OCCLUDE A VASCULAR MALFORMATION), PERCUTANEOUS, ANY METHOD; CENTRAL NERVOUS SYSTEM (INTRACRANIAL, SPINAL CORD)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61626,"TRANSCATHETER PERMANENT OCCLUSION OR EMBOLIZATION (EG, FOR TUMOR DESTRUCTION, TO ACHIEVE HEMOSTASIS, TO OCCLUDE A VASCULAR MALFORMATION), PERCUTANEOUS, ANY METHOD; NON-CENTRAL NERVOUS SYSTEM, HEAD OR NECK (EXTRACRANIAL, BRACHIOCEPHALIC BRANCH)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61630,"BALLOON ANGIOPLASTY, INTRACRANIAL (EG, ATHEROSCLEROTIC STENOSIS), PERCUTANEOUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61635,"TRANSCATHETER PLACEMENT OF INTRAVASCULAR STENT(S), INTRACRANIAL (EG, ATHEROSCLEROTIC STENOSIS), INCLUDING BALLOON ANGIOPLASTY, IF PERFORMED",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61640,"BALLOON DILATATION OF INTRACRANIAL VASOSPASM, PERCUTANEOUS; INITIAL VESSEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61641,"BALLOON DILATATION OF INTRACRANIAL VASOSPASM, PERCUTANEOUS; EACH ADDITIONAL VESSEL IN SAME VASCULAR FAMILY (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61642,"BALLOON DILATATION OF INTRACRANIAL VASOSPASM, PERCUTANEOUS; EACH ADDITIONAL VESSEL IN DIFFERENT VASCULAR FAMILY (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61645,"PERCUTANEOUS ARTERIAL TRANSLUMINAL MECHANICAL THROMBECTOMY AND/OR INFUSION FOR THROMBOLYSIS, INTRACRANIAL, ANY METHOD, INCLUDING DIAGNOSTIC ANGIOGRAPHY, FLUOROSCOPIC GUIDANCE, CATHETER PLACEMENT, AND INTRAPROCEDURAL PHARMACOLOGICAL THROMBOLYTIC INJECTION(S)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61650,"ENDOVASCULAR INTRACRANIAL PROLONGED ADMINISTRATION OF PHARMACOLOGIC AGENT(S) OTHER THAN FOR THROMBOLYSIS, ARTERIAL, INCLUDING CATHETER PLACEMENT, DIAGNOSTIC ANGIOGRAPHY, AND IMAGING GUIDANCE; INITIAL VASCULAR TERRITORY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61651,"ENDOVASCULAR INTRACRANIAL PROLONGED ADMINISTRATION OF PHARMACOLOGIC AGENT(S) OTHER THAN FOR THROMBOLYSIS, ARTERIAL, INCLUDING CATHETER PLACEMENT, DIAGNOSTIC ANGIOGRAPHY, AND IMAGING GUIDANCE; EACH ADDITIONAL VASCULAR TERRITORY (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61680,"SURGERY OF INTRACRANIAL ARTERIOVENOUS MALFORMATION; SUPRATENTORIAL, SIMPLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61682,"SURGERY OF INTRACRANIAL ARTERIOVENOUS MALFORMATION; SUPRATENTORIAL, COMPLEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61684,"SURGERY OF INTRACRANIAL ARTERIOVENOUS MALFORMATION; INFRATENTORIAL, SIMPLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61686,"SURGERY OF INTRACRANIAL ARTERIOVENOUS MALFORMATION; INFRATENTORIAL, COMPLEX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
